"id","company_name","registration_number","category","state","original_website","aum","contact_email","contact_phone","business_summary","primary_focus","validated_urls","confidence_level","data_completeness"
99,"121 Finance Private Limited (Old Name Yerrow Finance and Investments Private Limited)","ROW-1",NULL,NULL,"https://121finance.com/",NULL,NULL,NULL,"121 Finance is an RBI-registered NBFC-Factor providing fast and customised Trade Credit Finance Solutions to SMEs, supporting small ticket size trade to grow. They offer solutions to cover liquidity and risk by accelerating payments on B2B invoices. Their mission is to enable any buyer or seller across the nation to get their invoice discounted.","MSME","{products:https://121finance.com,homepage:https://121finance.com/,team:https://121finance.com/contact/,about:https://121finance.com/about-us/}","high","1.00"
100,"4Fin Finance Private Limited","ROW-4",NULL,NULL,"https://4fin.in/",NULL,NULL,NULL,"4Fin is an RBI-registered NBFC specializing in delivering innovative lending solutions catering to the diverse needs of MSMEs.","MSME","{team:https://4fin.in/contact-us/,about:https://4fin.in/about-us/,homepage:https://4fin.in/,products:https://4fin.in/working-capital/}","low","0.86"
101,"A R C Finance Ltd","ROW-27",NULL,NULL,"http://www.arcfinance.in/",NULL,NULL,NULL,"ARC Finance Ltd is a Non Deposit taking Non Banking Finance Company (NBFC) registered with the RBI, engaged primarily in advancing loans and investing/trading in securities.","MSME","{homepage:http://www.arcfinance.in/}","high","1.00"
102,"A R T Leasing Ltd","ROW-28",NULL,NULL,"http://artgroupofcompanies.in/leasing.php",NULL,NULL,NULL,"ART Leasing Ltd. is a Non-Banking Financial Company (NBFC) providing financial services, including personal loans against gold jewellery, business loans for SMEs, and instant fund transfer through various channels.","MSME","{homepage:http://artgroupofcompanies.in/leasing.php}","low","0.86"
103,"Aarchi Consultancy (P) Ltd","ROW-73",NULL,NULL,"https://aarchi-consultancy-pvt-ltd.charteredone.com/U74140WB1993PTC060953",NULL,NULL,NULL,"AARCHI CONSULTANCY PVT LTD is a private limited company providing business and management consultancy activities, including event-based compliances and tax audit services.","Not specified on website","{homepage:https://aarchi-consultancy-pvt-ltd.charteredone.com/U74140WB1993PTC060953}","low","0.71"
104,"Aashrit Capital Limited","ROW-83",NULL,NULL,"http://aashritcapital.com/",NULL,NULL,NULL,"Aashrit Capital Limited is a Non-Banking Financial Company (NBFC) engaged in the business of investment in shares and securities and providing loans and advances.","MSME","{team:http://aashritcapital.com/people-info,about:http://aashritcapital.com/company-info,homepage:http://aashritcapital.com/}","high","1.00"
105,"Aasman Kamraz Leasing & Hire Purchase Company Pvt Ltd","ROW-85",NULL,NULL,"https://company.vakilsearch.com/aasman-kamraz-leasing-hire-purchase-company-private-limited/U65921JK1997PTC001645",NULL,NULL,NULL,"The NBFC provides various company registration services, including private limited company registration, partnership firm registration, and sole proprietorship registration.","Multi-Product","{team:https://company.vakilsearch.com/aasman-kamraz-leasing-hire-purchase-company-private-limited/U65921JK1997PTC001645/partnership-firm-registration,about:https://company.vakilsearch.com,homepage:https://company.vakilsearch.com/aasman-kamraz-leasing-hire-purchase-company-private-limited/U65921JK1997PTC001645,products:https://company.vakilsearch.com/aasman-kamraz-leasing-hire-purchase-company-private-limited/U65921JK1997PTC001645/chartered-accountant-services}","medium","0.86"
106,"Abha Property Project Limited","ROW-98",NULL,NULL,"https://abhaproperty.in/",NULL,NULL,NULL,"Abha Property is a real estate development company that offers various services including property development, construction, and project management.","Not specified on website","{homepage:https://abhaproperty.in/,team:https://abhaproperty.in/contact-us/}","medium","0.86"
107,"Abhani Securities  Pvt.  Ltd.","ROW-99",NULL,NULL,"https://www.prabhatsecuritiesltd.co.in/",NULL,NULL,NULL,"Prabhat Securities Limited is a Non-Banking Financial Company (NBFC) engaged in finance, investment, and fund-based activities.","MSME","{homepage:https://www.prabhatsecuritiesltd.co.in/}","high","1.00"
108,"Abhishek Capital Services (P) Ltd","ROW-117",NULL,NULL,"http://www.abhisheksecurities.com/hdb_fin.htm",NULL,NULL,NULL,"HDB Financial Services is a leading Non-Banking Financial Company (NBFC) that caters to the growing needs of an aspirational India, serving both Retail & Commercial Clients. It provides loans for various purposes such as Consumer Loans, Enterprise Loans, and Asset Finance. The company also offers fee-based products like insurance and BPO services.","Multi-Product","{homepage:http://www.abhisheksecurities.com/hdb_fin.htm}","high","1.00"
